age_group,count,mean,median,std,min,max
60-69,1277,27849.14041503524,19936.0,28075.398959782837,-8179.999999999999,360024.0
70-79,2293,25083.971674662014,16502.0,31268.932279828015,-10125.0,548351.0
80+,836,21847.534234449762,13479.0,24536.555200278297,0.0,230179.0
